﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3EH1OQNwvcNSSiSjzyXgIF","Mawenzi","Elfenberg","Continents II","1","1","416566","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-03-23T17:54:43Z"
"spotify:track:0ZULUQ9JPX9paocKP2FHm9","La danse du scorpion","Sébastien Léger","I Need You More","1","2","593122","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-03-23T17:54:43Z"
"spotify:track:6UkXnPr9lHicC1bqbU92Ly","Do It","D.Y.A","Do It","1","1","417335","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-03-23T17:54:43Z"
"spotify:track:1MHQ8rASP54Hyaxf908ncG","Birdsong","Claptone, Zola Blood","Birdsong","1","1","166893","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-03-23T17:54:43Z"
"spotify:track:2ce5n5MpJQgvnAHtmfxS1C","Kuaga (Lost Time) (Radio Edit)","Pierce Fulton","Kuaga (Lost Time) (Radio Edit)","1","1","177414","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-03-23T17:54:43Z"
"spotify:track:7opEJI6hxVzu54TVtWksPO","Letting Go - Franky Rizardo Remix","Mont Blvck, Franky Rizardo","Letting Go","1","3","359429","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-03-23T17:54:43Z"
"spotify:track:013Y08foo6ybgrnvNjr0jl","Body Sun - Claptone Remix / Edit","RY X, Claptone","Body Sun (Claptone Remix)","1","1","205827","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-03-23T17:54:43Z"
"spotify:track:657KVeLewbh5Z0p2qEt0EJ","Upperground","ARTBAT, Dino Lenny","Upperground - EP","1","1","405737","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-03-23T17:54:43Z"
"spotify:track:4aHaWLsWefxTYv2qdK56mZ","Eyes - Radio Edit","Vintage Culture, Constantinne, Felten","Eyes","1","2","230041","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:2GQEM9JuHu30sGFvRYeCxz","Faded","ZHU","THE NIGHTDAY","1","2","223480","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:4XmeDoWEMBG6Km2Ts6brCt","Monday","Vintage Culture, Felguk, Le Dib","Monday","1","1","191023","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:0UeYCHOETPfai02uskjJ3x","Shooting Stars","Bag Raiders","Bag Raiders (Deluxe)","1","3","235813","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:415F4kWaAChJZ054xRCRJ6","Slowing Down","Vintage Culture","Slowing Down","1","1","409180","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:7q4aClIlFcgyVQDACJQdmG","Cante por Nós","Vintage Culture, KVSH, Breno Miranda","Cante por Nós","1","1","209032","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:12mUCDvHU5jtJpnQJd4fKj","That's Why 2k19 (Vintage Culture & Dashdot 2k19)","Dashdot, Vintage Culture","That's Why (Vintage Culture & Dashdot 2k19)","1","1","197880","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:5T2mlWnOVRc7eU16OVpCrI","Why Don't U Love","Vintage Culture, Selva, Lazy Bear","Why Don't U Love","1","1","206826","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:210g0ApTMDQvGFTWSnioAA","Easy","Commodores","The Commodores: The Definitive Collection","1","7","256546","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:5kfsr6cUsIF7HuVSlHvxjk","Hollywood","Vintage Culture","Hollywood","1","1","370439","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:0b6wdul3A5sQNpIOv03OxP","Ocean Drive","Duke Dumont","Ocean Drive","1","1","206320","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:2EAVYPvdynPM4vsG1GDugg","You Can't Hide - Original Mix","Vintage Culture","Love Games","1","2","372000","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
"spotify:track:57RHMnLMQx8Qz5V6c0E8dF","We Are The People","Empire of the Sun","Walking On A Dream (Special Edition)","1","4","267354","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:30:06Z"
